Exception,Exception.TargetSite,Exception.Message,Exception.Data,Exception.InnerException,Exception.HelpLink,Exception.Source,Exception.HResult,Exception.StackTrace
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.IExecuteActivityScopeProvider`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.IExecuteActivityScopeProvider`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.IO.FileNotFoundException: Could not load file or assembly 'GreenPipes, Version=4.0.1.0, Culture=neutral, PublicKeyToken=b800c4cfcdeea87b'. The system cannot find the file specified.
File name: 'GreenPipes, Version=4.0.1.0, Culture=neutral, PublicKeyToken=b800c4cfcdeea87b'","","Could not load file or assembly 'GreenPipes, Version=4.0.1.0, Culture=neutral, PublicKeyToken=b800c4cfcdeea87b'. The system cannot find the file specified.",[],"","","",-2147024894,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.Filters.IFilterContextScopeProvider`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.Filters.IFilterContextScopeProvider`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.Filters.IFilterContextScopeProvider`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.Filters.IFilterContextScopeProvider`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.IMessageScopeProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.IMessageScopeProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.IO.FileNotFoundException: Could not load file or assembly 'GreenPipes, Version=4.0.1.0, Culture=neutral, PublicKeyToken=b800c4cfcdeea87b'. The system cannot find the file specified.
File name: 'GreenPipes, Version=4.0.1.0, Culture=neutral, PublicKeyToken=b800c4cfcdeea87b'","","Could not load file or assembly 'GreenPipes, Version=4.0.1.0, Culture=neutral, PublicKeyToken=b800c4cfcdeea87b'. The system cannot find the file specified.",[],"","","",-2147024894,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IConfigurationServiceProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IConfigurationServiceProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IContainerRegistrar' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IContainerRegistrar' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IContainerRegistrar' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IContainerRegistrar' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IContainerRegistrar' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IContainerRegistrar' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IScopeServiceProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IScopeServiceProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.PipeConfigurators.ConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.PipeConfigurators.ConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IRiderRegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IRiderRegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.RegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.ConsumeConfigurators.IActivityConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.ConsumeConfigurators.IActivityConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.ConsumeConfigurators.IConsumerConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.ConsumeConfigurators.IConsumerConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.ConsumeConfigurators.IActivityConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.ConsumeConfigurators.IActivityConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.PublishPipeSpecifications.IPublishPipeSpecificationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.PublishPipeSpecifications.IPublishPipeSpecificationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.SagaConfigurators.ISagaConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.SagaConfigurators.ISagaConfigurationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.SendPipeSpecifications.ISendPipeSpecificationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.SendPipeSpecifications.ISendPipeSpecificationObserver' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IRequestClient`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IRequestClient`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Internals.Reflection.IBusInstanceBuilderCallback`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Internals.Reflection.IBusInstanceBuilderCallback`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IConsumer' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IConsumer' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'Automatonymous.SagaStateMachine`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'Automatonymous.SagaStateMachine`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Courier.ICompensateActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Courier.ICompensateActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Courier.IExecuteActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Courier.IExecuteActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.Filters.IFilterContextScope`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.Filters.IFilterContextScope`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.Filters.IFilterContextScope`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.Filters.IFilterContextScope`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Definition.IConsumerDefinition`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Definition.IConsumerDefinition`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'Automatonymous.SagaStateMachine`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'Automatonymous.SagaStateMachine`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Definition.ISagaDefinition`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Definition.ISagaDefinition`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Definition.IActivityDefinition`3' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Definition.IActivityDefinition`3' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Definition.IExecuteActivityDefinition`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Definition.IExecuteActivityDefinition`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IFutureDefinition`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IFutureDefinition`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.RequestTimeout' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.RequestTimeout' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.RequestTimeout' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.RequestTimeout' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Courier.IExecuteActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Courier.IExecuteActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Courier.IExecuteActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Courier.IExecuteActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Courier.ICompensateActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Courier.ICompensateActivity`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IRegistrationBusFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IRegistrationBusFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IRegistrationBusFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IRegistrationBusFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IRegistrationBusFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IRegistrationBusFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Riders.IRider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Riders.IRider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Riders.IRider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Riders.IRider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Riders.IRider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Riders.IRider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
